address_name,full_name,id,name,purpose_name,rubrics,type,address.building_id,address.components,address.postcode,point.lat,point.lon,reviews.general_rating,reviews.general_review_count,reviews.general_review_count_with_stars,reviews.is_reviewable,reviews.is_reviewable_on_flamp,reviews.items,reviews.org_rating,reviews.org_review_count,reviews.org_review_count_with_stars,address.landmark_name,address_comment,address.building_name,reviews.rating,reviews.review_count,reviews.recommendation_count,building_name,city
"улица Попова, 1Б",,70000001089807696,"Поповъ, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}]",branch,1267273050382286,"[{'number': '1Б', 'street': 'улица Попова', 'street_id': '1267376129575784', 'type': 'street_number'}]",620014,56.835256,60.594097,5.0,92.0,131.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,92.0,131.0,,1 этаж,,,,,,Екатеринбург
"улица Малышева, 74",,1267165676649830,"Alibi, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}]",branch,1267273050372790,"[{'number': '74', 'street': 'улица Малышева', 'street_id': '1267376129574329', 'type': 'street_number'}]",620000,56.83518,60.613709,4.0,490.0,593.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 3.6, 'recommendation_count': 30, 'review_count': 239, 'tag': 'flamp'}]",4.0,490.0,593.0,,1 этаж,Отель Центральный,3.6,239.0,30.0,,Екатеринбург
"Розы Люксембург, 14","Екатеринбург, Розы Люксембург, 14",70000001067592611,"Ставников, бар","Кафе, бар","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'ryumochnye', 'id': '52248', 'kind': 'primary', 'name': 'Рюмочные', 'parent_id': '2', 'short_id': 52248}, {'alias': 'interesnye_zdaniya', 'id': '112670', 'kind': 'geo', 'name': 'Интересные здания', 'parent_id': '112663', 'short_id': 112670}]",branch,1267273050373588,"[{'number': '14', 'street': 'Розы Люксембург', 'street_id': '1267376129575693', 'type': 'street_number'}]",620000,56.834171,60.611889,4.6,334.0,526.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 3.8, 'review_count': 16, 'tag': 'flamp'}]",4.6,332.0,524.0,,1 этаж,,3.8,16.0,,,Екатеринбург
"улица 8 Марта, 4",,70000001026832432,"Шалом Шанхай, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,1267273050388328,"[{'number': '4', 'street': 'улица 8 Марта', 'street_id': '1267376129574895', 'type': 'street_number'}]",620000,56.839425,60.597906,3.7,189.0,282.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 3.6, 'review_count': 75, 'tag': 'flamp'}]",3.7,189.0,282.0,,цокольный этаж,,3.6,75.0,,,Екатеринбург
"улица 8 Марта, 8г",,70000001031289603,"Коллектив, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,1267273050366131,"[{'number': '8г', 'street': 'улица 8 Марта', 'street_id': '1267376129574895', 'type': 'street_number'}]",620014,56.835526,60.598225,4.6,217.0,410.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 4.5, 'review_count': 53, 'tag': 'flamp'}]",4.6,217.0,410.0,,2 этаж,,4.5,53.0,,,Екатеринбург
"проспект Ленина, 49",,70000001087632399,"Шашлыкоff, гриль-бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}]",branch,1267273050361490,"[{'number': '49', 'street': 'проспект Ленина', 'street_id': '1267376129574837', 'type': 'street_number'}]",620000,56.840017,60.614745,3.9,268.0,442.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",3.3,3550.0,4381.0,,2 этаж,,,,,,Екатеринбург
"улица Куйбышева, 61",,70000001022721300,"Сплетни, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,1267273050397304,"[{'number': '61', 'street': 'улица Куйбышева', 'street_id': '1267376129574695', 'type': 'street_number'}]",620026,56.827901,60.607944,4.7,544.0,697.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 4.3, 'recommendation_count': 16, 'review_count': 214, 'tag': 'flamp'}]",4.7,544.0,697.0,,,ТК Nautilus,4.3,214.0,16.0,,Екатеринбург
"проспект Ленина, 34",,1267165676198228,"The Rosy Jane, английский паб",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,1267273050366852,"[{'number': '34', 'street': 'проспект Ленина', 'street_id': '1267376129574837', 'type': 'street_number'}]",620000,56.837947,60.607916,4.5,436.0,585.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 4.1, 'recommendation_count': 29, 'review_count': 262, 'tag': 'flamp'}]",4.5,436.0,585.0,,1 этаж,,4.1,262.0,29.0,,Екатеринбург
"улица Мамина-Сибиряка, 58",,70000001080507375,Kein Territory,,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'primary', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}, {'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}]",branch,1267273050387168,"[{'number': '58', 'street': 'улица Мамина-Сибиряка', 'street_id': '1267376129574703', 'type': 'street_number'}]",620000,56.843071,60.616305,4.6,166.0,261.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 5, 'review_count': 4, 'tag': 'flamp'}]",4.6,166.0,261.0,,1 этаж,,5.0,4.0,,,Екатеринбург
"улица Малышева, 29а",,70000001045103804,"Самоцвет, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,1267273050366662,"[{'number': '29а', 'street': 'улица Малышева', 'street_id': '1267376129574329', 'type': 'street_number'}]",620014,56.833744,60.594612,3.6,185.0,310.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 3, 'review_count': 23, 'tag': 'flamp'}]",3.6,185.0,310.0,,1 этаж,,3.0,23.0,,,Екатеринбург
"улица Энгельса, 36",,70000001039661774,"Дуть, лаундж-бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'primary', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}]",branch,1267273050410555,"[{'number': '36', 'street': 'улица Энгельса', 'street_id': '1267376129575740', 'type': 'street_number'}]",620026,56.834115,60.622372,4.7,423.0,604.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 4, 'review_count': 80, 'tag': 'flamp'}]",4.7,569.0,826.0,Екатеринбургский зоопарк,1 этаж,Филитцъ,4.0,80.0,,,Екатеринбург
"улица Малышева, 51",,1267166676201121,"Влади, панорамный ресторан",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'banketnye_zaly', 'id': '10803', 'kind': 'additional', 'name': 'Банкетные залы', 'parent_id': '2', 'short_id': 10803}]",branch,1267273050394845,"[{'number': '51', 'street': 'улица Малышева', 'street_id': '1267376129574329', 'type': 'street_number'}]",620000,56.835991,60.614245,4.3,719.0,855.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 4, 'recommendation_count': 42, 'review_count': 400, 'tag': 'flamp'}]",4.3,719.0,855.0,,37 этаж,БЦ Высоцкий,4.0,400.0,42.0,,Екатеринбург
"улица Малышева, 51 лит А",,70000001030125507,BUNIN BAR,,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,1267273050415935,"[{'number': '51 лит А', 'street': 'улица Малышева', 'street_id': '1267376129574329', 'type': 'street_number'}]",620000,56.836468,60.614053,4.7,411.0,518.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 4.3, 'review_count': 64, 'tag': 'flamp'}]",4.7,411.0,518.0,,1 этаж,,4.3,64.0,,,Екатеринбург
"проспект Ленина, 49",,70000001041708517,"Norra rok, ресторан",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,1267273050361490,"[{'number': '49', 'street': 'проспект Ленина', 'street_id': '1267376129574837', 'type': 'street_number'}]",620000,56.839893,60.614586,4.5,582.0,739.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 4.4, 'review_count': 290, 'tag': 'flamp'}]",3.8,583.0,740.0,,1 этаж,,4.4,290.0,,,Екатеринбург
"улица Шейнкмана, 90",,70000001055315332,"Pravda, камеди-бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'stendap_kluby', 'id': '112617', 'kind': 'additional', 'name': 'Стендап-клубы', 'parent_id': '2', 'short_id': 112617}, {'alias': 'karaoke_zaly', 'id': '21387', 'kind': 'additional', 'name': 'Караоке-залы', 'parent_id': '2', 'short_id': 21387}, {'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}]",branch,1267273050417266,"[{'number': '90', 'street': 'улица Шейнкмана', 'street_id': '1267376129575005', 'type': 'street_number'}]",620014,56.825927,60.587518,4.9,267.0,398.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 4.8, 'review_count': 9, 'tag': 'flamp'}]",4.9,267.0,398.0,ЖК Москва,цокольный этаж,,4.8,9.0,,,Екатеринбург
"Вайнера, 51","Екатеринбург, Вайнера, 51",70000001093039362,"Enzo, лаундж-бар",Ресторан,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'primary', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}, {'alias': 'karaoke_zaly', 'id': '21387', 'kind': 'additional', 'name': 'Караоке-залы', 'parent_id': '2', 'short_id': 21387}, {'alias': 'restorany', 'id': '164', 'kind': 'additional', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'interesnye_zdaniya', 'id': '112670', 'kind': 'geo', 'name': 'Интересные здания', 'parent_id': '112663', 'short_id': 112670}]",branch,1267273050398782,"[{'number': '51', 'street': 'Вайнера', 'street_id': '1267376129574848', 'type': 'street_number'}]",620014,56.827801,60.598369,4.9,137.0,239.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.9,137.0,239.0,,вход со стороны ул. Вайнера,,,,,,Екатеринбург
"улица Малышева, 74",,70000001091293254,"Morgan bar&music, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,1267273050372790,"[{'number': '74', 'street': 'улица Малышева', 'street_id': '1267376129574329', 'type': 'street_number'}]",620000,56.835058,60.612568,4.0,18.0,39.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.0,18.0,39.0,,цокольный этаж,Отель Центральный,,,,,Екатеринбург
"улица Малышева, 21/4",,70000001025747670,"Нельсон Совин, пивной бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'razlivnoe_pivo', 'id': '19290', 'kind': 'additional', 'name': 'Разливное пиво', 'parent_id': '14', 'short_id': 19290}]",branch,1267273050366572,"[{'number': '21/4', 'street': 'улица Малышева', 'street_id': '1267376129574329', 'type': 'street_number'}]",620014,56.833976,60.591808,4.7,308.0,669.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 4.6, 'recommendation_count': 1, 'review_count': 125, 'tag': 'flamp'}]",4.7,308.0,669.0,ЖК Дом Уралоблсовнархоза,1 этаж,,4.6,125.0,1.0,,Екатеринбург
