address_name,full_name,id,name,purpose_name,rubrics,type,address.building_id,address.components,address.postcode,point.lat,point.lon,reviews.general_rating,reviews.general_review_count,reviews.general_review_count_with_stars,reviews.is_reviewable,reviews.is_reviewable_on_flamp,reviews.items,reviews.org_rating,reviews.org_review_count,reviews.org_review_count_with_stars,address.landmark_name,address_comment,address.building_name,reviews.rating,reviews.review_count,reviews.recommendation_count,building_name,city
"деревня Сосенки, 150","Сосенки, деревня Сосенки, 150",70000001020034740,"New Moscow, ресторан",Ресторан,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,4504235306854603,"[{'number': '150', 'street': 'деревня Сосенки', 'type': 'street_number'}]",108802,55.554086,37.431872,4.9,11.0,16.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.9,11.0,16.0,,,,,,,,Москва
"Скандинавский бульвар, 12",,70000001096460413,"The Beer, крафтовый бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,70030076177876871,"[{'number': '12', 'street': 'Скандинавский бульвар', 'street_id': '70030076170976780', 'type': 'street_number'}]",108801,55.562626,37.501272,5.0,9.0,17.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.8,31.0,53.0,ЖК Скандинавия,,,,,,,Москва
"улица Александры Монаховой, 90 к4",,70000001087699714,"Брискетная №1, паб",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,70030076160147189,"[{'number': '90 к4', 'street': 'улица Александры Монаховой', 'street_id': '4504338361812739', 'type': 'street_number'}]",108826,55.542578,37.480596,4.4,11.0,15.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.4,11.0,15.0,ЖК Бунинские луга,1 этаж,,,,,,Москва
"улица Липовый парк, 8 к2",,70000001034540345,"Липа Бар, гастробар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,4504235300147859,"[{'number': '8 к2', 'street': 'улица Липовый парк', 'street_id': '4504338361753996', 'type': 'street_number'}]",108801,55.570096,37.488297,4.7,23.0,40.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.7,23.0,40.0,ЖК Москва А101,1 этаж; около отделения Почта России,,,,,,Москва
"улица Александры Монаховой, 90 к3",,70000001085334903,"The Beer, крафтовый бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,70030076160147030,"[{'number': '90 к3', 'street': 'улица Александры Монаховой', 'street_id': '4504338361812739', 'type': 'street_number'}]",108826,55.543761,37.481012,4.7,6.0,13.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.8,31.0,53.0,ЖК Бунинские луга,1 этаж,,,,,,Москва
"Скандинавский бульвар, 19",,70000001085797627,"Rich man celebrity, лаундж-бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'primary', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}]",branch,70030076199558084,"[{'number': '19', 'street': 'Скандинавский бульвар', 'street_id': '70030076170976780', 'type': 'street_number'}]",108834,55.55686,37.510902,5.0,21.0,23.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.9,50.0,66.0,ЖК Скандинавия,,,,,,,Москва
"Южнобутовская улица, 117",,70000001029862731,"1980, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,4504235282774195,"[{'number': '117', 'street': 'Южнобутовская улица', 'street_id': '4504338361753578', 'type': 'street_number'}]",117042,55.532213,37.520261,4.2,37.0,44.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.2,37.0,44.0,,цокольный этаж,,,,,,Москва
"улица Эдварда Грига, 15",,70000001097044775,"Слеза комсомолки, рюмочная",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'ryumochnye', 'id': '52248', 'kind': 'primary', 'name': 'Рюмочные', 'parent_id': '2', 'short_id': 52248}]",branch,70030076190387677,"[{'number': '15', 'street': 'улица Эдварда Грига', 'street_id': '70030076195626253', 'type': 'street_number'}]",108834,55.557202,37.506877,5.0,1.0,2.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,1.0,2.0,ЖК Скандинавия,1 этаж,,,,,,Москва
"Скандинавский бульвар, 5 к2",,70000001085797586,"Rich Man, лаундж-бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'primary', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}]",branch,70030076173520215,"[{'number': '5 к2', 'street': 'Скандинавский бульвар', 'street_id': '70030076170976780', 'type': 'street_number'}]",108801,55.565215,37.499906,5.0,7.0,10.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.9,50.0,66.0,ЖК Скандинавия,1 этаж,,,,,,Москва
"улица Александры Монаховой, 5 к3",,70000001049073272,"Гугельбир, паб",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,4504235283173810,"[{'number': '5 к3', 'street': 'улица Александры Монаховой', 'street_id': '4504338361812739', 'type': 'street_number'}]",108814,55.574989,37.473468,5.0,4.0,8.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,4.0,8.0,ЖК Зелёная линия,1 этаж,,,,,,Москва
"улица Эдварда Грига, 17",,70000001096870786,"Невод, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}]",branch,70030076173581538,"[{'number': '17', 'street': 'улица Эдварда Грига', 'street_id': '70030076195626253', 'type': 'street_number'}]",108834,55.555375,37.508094,5.0,3.0,5.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,3.0,5.0,ЖК Скандинавия,1 этаж,,,,,,Москва
"Скандинавский бульвар, 9",,70000001087044520,"Сканди, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,70030076177877766,"[{'number': '9', 'street': 'Скандинавский бульвар', 'street_id': '70030076170976780', 'type': 'street_number'}]",108801,55.564202,37.50296,1.0,2.0,2.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",1.0,2.0,2.0,ЖК Скандинавия,1 этаж,,,,,,Москва
"улица Эдварда Грига, 15",,70000001096307057,Просечечная,,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,70030076190387677,"[{'number': '15', 'street': 'улица Эдварда Грига', 'street_id': '70030076195626253', 'type': 'street_number'}]",108834,55.556765,37.506741,,,,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,,ЖК Скандинавия,1 этаж,,,,,,Москва
"Скандинавский бульвар, 17",,70000001097027189,"Ньёрд, паб",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,70030076199557382,"[{'number': '17', 'street': 'Скандинавский бульвар', 'street_id': '70030076170976780', 'type': 'street_number'}]",108834,55.557887,37.510891,5.0,3.0,6.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,3.0,6.0,ЖК Скандинавия,,,,,,,Москва
"Скандинавский бульвар, 5 к1",,70000001102610004,Beer Garage,,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,70030076173519517,"[{'number': '5 к1', 'street': 'Скандинавский бульвар', 'street_id': '70030076170976780', 'type': 'street_number'}]",108801,55.566696,37.500149,,,,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,,ЖК Скандинавия,,,,,,,Москва
"Скандинавский бульвар, 12",,70000001081643397,"Samovar CraftBar, бар крафтового пива",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'razlivnoe_pivo', 'id': '19290', 'kind': 'additional', 'name': 'Разливное пиво', 'parent_id': '14', 'short_id': 19290}]",branch,70030076177876871,"[{'number': '12', 'street': 'Скандинавский бульвар', 'street_id': '70030076170976780', 'type': 'street_number'}]",108801,55.563165,37.50027,5.0,2.0,2.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.6,17.0,21.0,ЖК Скандинавия,1 этаж,,,,,,Москва
"улица Александры Монаховой, 92 к1",,70000001044825470,"Пивной дворик, магазин разливных напитков",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'razlivnoe_pivo', 'id': '19290', 'kind': 'primary', 'name': 'Разливное пиво', 'parent_id': '14', 'short_id': 19290}, {'alias': 'sneki', 'id': '879', 'kind': 'additional', 'name': 'Снеки', 'parent_id': '14', 'short_id': 879}]",branch,4504235321549961,"[{'number': '92 к1', 'street': 'улица Александры Монаховой', 'street_id': '4504338361812739', 'type': 'street_number'}]",108826,55.543554,37.487018,2.6,11.0,14.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",2.6,11.0,14.0,ЖК Бунинские луга,1 этаж,,,,,,Москва
"Куприна проспект, 18 к2",,70000001106158750,"Z.a.m.i.n, гастро-лаундж бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,70030076326225294,"[{'number': '18 к2', 'street': 'Куприна проспект', 'street_id': '70030076164408518', 'type': 'street_number'}]",108826,55.546534,37.488125,,,,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,,ЖК Бунинские луга,,,,,,,Москва
"улица Липовый парк, 11",,70000001106318266,"Прости, гастро-бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,4504235283119735,"[{'number': '11', 'street': 'улица Липовый парк', 'street_id': '4504338361753996', 'type': 'street_number'}]",108801,55.565758,37.486241,,,,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,,ЖК Москва А101,1 этаж,,,,,,Москва
"Венёвская улица, 2а",,70000001052209822,"На Луне, лаундж-бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'karaoke_zaly', 'id': '21387', 'kind': 'additional', 'name': 'Караоке-залы', 'parent_id': '2', 'short_id': 21387}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,4504235304500031,"[{'number': '2а', 'street': 'Венёвская улица', 'street_id': '4504338361753623', 'type': 'street_number'}]",117042,55.550291,37.541986,2.3,48.0,69.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",2.3,48.0,69.0,,3 этаж,,,,,,Москва
"Венёвская улица, 6",,70000001096940448,"Pasti&Asti, ресторан-бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'piccerii', 'id': '51459', 'kind': 'additional', 'name': 'Пиццерии', 'parent_id': '2', 'short_id': 51459}]",branch,4504235283022827,"[{'number': '6', 'street': 'Венёвская улица', 'street_id': '4504338361753623', 'type': 'street_number'}]",117042,55.548053,37.543925,4.7,39.0,42.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.7,39.0,42.0,,1 помещение; 3 этаж,ТРЦ Витте Молл,,,,,Москва
"Венёвская улица, 6",,70000001019370750,"Изи паб, кафе-бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,4504235283022827,"[{'number': '6', 'street': 'Венёвская улица', 'street_id': '4504338361753623', 'type': 'street_number'}]",117042,55.54792,37.543693,4.2,69.0,79.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 4.7, 'review_count': 6, 'tag': 'flamp'}]",4.5,558.0,726.0,,3 этаж,ТРЦ Витте Молл,4.7,6.0,,,Москва
"Адмирала Лазарева улица, 2",,70000001039532813,"Мята Lounge Бутово, лаундж-бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'primary', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}]",branch,4504235282749197,"[{'number': '2', 'street': 'Адмирала Лазарева улица', 'street_id': '4504338361753582', 'type': 'street_number'}]",117042,55.546755,37.543079,4.9,196.0,214.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.7,16664.0,21176.0,,3 этаж,,,,,,Москва
"Куликовская улица, 6",,70000001065665094,"Shemodi, ресторан",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,4504235283153433,"[{'number': '6', 'street': 'Куликовская улица', 'street_id': '4504338361753234', 'type': 'street_number'}]",117628,55.57422,37.565029,4.5,29.0,35.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.8,30.0,36.0,,0 этаж,ТЦ Алфавит,,,,,Москва
"бульвар Дмитрия Донского, 1",,70000001096885649,"Zames, гриль-бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,4504235283007906,"[{'number': '1', 'street': 'бульвар Дмитрия Донского', 'street_id': '4504338361753194', 'type': 'street_number'}]",117628,55.574498,37.579875,4.4,12.0,17.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.8,990.0,35870.0,,0 этаж,ТРЦ Северное Сияние,,,,,Москва
"улица Поляны, 5а к2",,70000001075672693,"The Beer, крафтовый бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,70030076139504908,"[{'number': '5а к2', 'street': 'улица Поляны', 'street_id': '4504338361753246', 'type': 'street_number'}]",117624,55.553314,37.554745,4.9,16.0,23.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.8,31.0,53.0,ЖК Столичные поляны,1 этаж; 8 подъезд,,,,,,Москва
"улица Знаменские Садки, 1а",,70000001030781139,"Bdd pub, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}, {'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}]",branch,4504235283109668,"[{'number': '1а', 'street': 'улица Знаменские Садки', 'street_id': '4504338361753201', 'type': 'street_number'}]",117628,55.572015,37.574619,3.9,20.0,28.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 4, 'review_count': 2, 'tag': 'flamp'}]",3.9,20.0,28.0,,мансардный этаж,,4.0,2.0,,,Москва
"микрорайон Боброво, 239",,70000001102130180,Амадор,,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'karaoke_zaly', 'id': '21387', 'kind': 'additional', 'name': 'Караоке-залы', 'parent_id': '2', 'short_id': 21387}]",branch,70030076368280139,"[{'number': '239', 'street': 'микрорайон Боброво', 'type': 'street_number'}]",,55.540261,37.612043,4.0,4.0,4.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.0,4.0,4.0,,1 этаж,ТЦ Боброво,,,,,Москва
"бульвар Адмирала Ушакова, 12",,4504128908521972,"Глостер, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}, {'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}]",branch,4504235282738529,"[{'number': '12', 'street': 'бульвар Адмирала Ушакова', 'street_id': '4504338361753631', 'type': 'street_number'}]",117042,55.548029,37.550677,3.8,8.0,13.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",3.8,8.0,13.0,,1 этаж,,,,,,Москва
"Крымская улица, 1",,70000001076386779,СкорпиоБар,,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,70030076193275998,"[{'number': '1', 'street': 'Крымская улица', 'street_id': '4504338396231681', 'type': 'street_number'}]",142720,55.53796,37.613887,5.0,1.0,3.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,1.0,3.0,,,,,,,,Москва
"Старокачаловская улица, 6",,70000001041107029,"Все свои, антипаб",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,4504235282736661,"[{'number': '6', 'street': 'Старокачаловская улица', 'street_id': '4504338361753181', 'type': 'street_number'}]",117628,55.568932,37.588861,3.2,5.0,6.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",3.2,5.0,6.0,,1 этаж,,,,,,Москва
"Калиновая улица, 3",,70000001053915498,"Спальник, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}, {'alias': 'piccerii', 'id': '51459', 'kind': 'additional', 'name': 'Пиццерии', 'parent_id': '2', 'short_id': 51459}, {'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}]",branch,70030076167020787,"[{'number': '3', 'street': 'Калиновая улица', 'street_id': '70030076173883728', 'type': 'street_number'}]",142701,55.532356,37.715975,4.9,77.0,88.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 5, 'review_count': 2, 'tag': 'flamp'}]",4.9,77.0,88.0,ЖК Первый квартал,1 этаж,,5.0,2.0,,,Москва
"деревня Тарычево, 7в",,70000001036451027,"Мята Lounge Видное, лаундж-бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'primary', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}]",branch,70030076166973340,"[{'number': '7в', 'street': 'деревня Тарычево', 'type': 'street_number'}]",142703,55.555926,37.690843,4.7,50.0,59.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.7,16664.0,21176.0,,2 этаж,ТЦ Зелёные аллеи,,,,,Москва
"проспект Ленинского Комсомола, 3а",,70000001057392108,БитОк Крафт&Еда,,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'arenda_koncertnykh_ploshhadok', 'id': '111506', 'kind': 'additional', 'name': 'Аренда концертных площадок', 'parent_id': '9', 'short_id': 111506}, {'alias': 'ryumochnye', 'id': '52248', 'kind': 'additional', 'name': 'Рюмочные', 'parent_id': '2', 'short_id': 52248}]",branch,4504235282669431,"[{'number': '3а', 'street': 'проспект Ленинского Комсомола', 'street_id': '4504338361762015', 'type': 'street_number'}]",142701,55.547657,37.713388,4.8,27.0,35.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 1, 'review_count': 1, 'tag': 'flamp'}]",4.8,27.0,35.0,,цокольный этаж,,1.0,1.0,,,Москва
"Берёзовая улица, 5",,70000001026885875,"Бирстория, паб",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,4504235282770458,"[{'number': '5', 'street': 'Берёзовая улица', 'street_id': '4504338361762404', 'type': 'street_number'}]",142701,55.543606,37.720734,4.4,12.0,18.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.4,12.0,18.0,,1 этаж,,,,,,Москва
"Завидная улица, 4",,70000001095334251,"БарДак, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,4504235283179110,"[{'number': '4', 'street': 'Завидная улица', 'street_id': '4504338361812801', 'type': 'street_number'}]",142701,55.540034,37.724919,,,3.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,3.0,ЖК Берёзовая роща,цокольный этаж,,,,,,Москва
"Радужная улица, 2",,70000001105270172,"Видное, кафе",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}]",branch,4504235283179401,"[{'number': '2', 'street': 'Радужная улица', 'street_id': '4504338405580444', 'type': 'street_number'}]",142701,55.542343,37.709781,,,,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,,ЖК Краски жизни,1 этаж,,,,,,Москва
"Ольховая улица, 2",,70000001101660883,"Алиби, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'bilyardnye_zaly', 'id': '169', 'kind': 'primary', 'name': 'Бильярдные залы', 'parent_id': '2', 'short_id': 169}]",branch,4504235282770428,"[{'number': '2', 'street': 'Ольховая улица', 'street_id': '4504338361785104', 'type': 'street_number'}]",142701,55.546513,37.722043,5.0,1.0,1.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,1.0,1.0,,1 этаж; 3-4 подъезд,,,,,,Москва
"ЖК Усадьба Суханово, 1",,70000001098619438,Империя пива,,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'ryba_i_moreprodukty', 'id': '366', 'kind': 'additional', 'name': 'Рыба и морепродукты', 'parent_id': '14', 'short_id': 366}]",branch,4504235294346433,"[{'number': '1', 'street': 'ЖК Усадьба Суханово', 'type': 'street_number'}]",142702,55.533569,37.667546,,,,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,,ЖК Усадьба Суханово,,,,,,,Москва
